years,senddr_BAU_yearly_losses,senddr_NBS_yearly_benefits,senddr_GROSS_yearly_benefits,senddr_NBS_yearly_investments,senddr_NET_yearly_cashflow,senddr_BAU_cumul_losses,senddr_NBS_cumul_benefits,senddr_GROSS_cumul_benefits,senddr_NBS_cumul_investments,senddr_NET_cumul_cashflow,senddr_ROI
2068,-1.10610226579279,0.479706357276241,1.58580862306903,0.507477556528217,1.07833106654081,-43.2752429229591,53.39552417897,96.670767101929,41.3290589258867,55.3417081760423,1.3390507699506
2069,-2.74867802984006,-0.0244764263281226,2.72420160351193,0.507217095995619,2.21698450751632,-46.0239209527991,53.3710477526419,99.3949687054409,41.8362760218823,57.5586926835587,1.37580822569994
2070,-0.945256419067416,0.0202732944199512,0.965529713487368,0.507208584356345,0.458321129131023,-46.9691773718665,53.3913210470618,100.360498418928,42.3434846062386,58.0170138126897,1.37015208720309
2071,-2.12709767728453,-0.0444624640758183,2.08263521320872,0.507452134130403,1.57518307907831,-49.0962750491511,53.346858582986,102.443133632137,42.850936740369,59.592196891768,1.39068597853142
2072,-2.22430536221341,0.0225314603624991,2.2468368225759,0.507948233932633,1.73888858864327,-51.3205804113645,53.3693900433485,104.689970454713,43.3588849743017,61.3310854804113,1.41449867810857
2073,-1.68636627067003,-0.0988170996526082,1.58754917101742,0.508697749999926,1.07885142101749,-53.0069466820345,53.2705729436959,106.27751962573,43.8675827243016,62.4099369014288,1.42268921662864
2074,-1.43688654136562,-0.150683582995493,1.28620295837013,0.509701928661192,0.776501029708935,-54.4438332234001,53.1198893607004,107.5637225841,44.3772846529628,63.1864379311377,1.42384642109731
2075,-1.97072566414711,-0.198375481621488,1.77235018252562,0.510962399759777,1.26138778276585,-56.4145588875472,52.9215138790789,109.336072766626,44.8882470527226,64.4478257139035,1.43573941834279
2076,-1.99007328077243,-0.155316894541358,1.83475638623107,0.5124811810414,1.32227520518967,-58.4046321683197,52.7661969845376,111.170829152857,45.400728233764,65.7701009190932,1.44865739995291
2077,-1.68925509494874,-0.199556285991802,1.48969880895694,0.514260683524076,0.975438125432866,-60.0938872632684,52.5666406985458,112.660527961814,45.914988917288,66.7455390445261,1.45367647076563
2078,-2.65230652135192,-0.360169168139593,2.29213735321233,0.516303717870003,1.77583363534233,-62.7461937846203,52.2064715304062,114.952665315026,46.4312926351581,68.5213726798684,1.47575845493441
2079,-1.56535912767018,-0.304159649724082,1.26119947794609,0.518613501782961,0.742585976163134,-64.3115529122905,51.9023118806821,116.213864792973,46.949906136941,69.2639586560315,1.475273634286
2080,-2.29723440826716,-0.481240723457432,1.81599368480973,0.521193668458498,1.29480001635123,-66.6087873205577,51.4210711572247,118.029858477782,47.4710998053995,70.5587586723828,1.48635188486527
